UniProt Accession ID,Description,Gene,V08,V28,NV1,V15L,V31,NV2,V14,V6L,V15,V23,V1O,V16,V11,V9L,V01,V22,V04,V25,V07,V10,V17,NV6,NV4,V1L,V13,V21,V6L,V12,V30,NV7,V05,V20,V03,V32,V06,V27,V02
5NTD_HUMAN,5'-nucleotidase,NT5E,239783.6073,27025.723,80246.60284,203622.5602,54444.06089,77841.51658,37667.1235,181283.8027,118865.494,81138.49803,212475.1,135948.9206,26708.12837,79289.07579,10082.15813,235375.6363,30916.22287,64645.18128,94230.6627,43418.76038,26839.56635,28788.42512,121635.4225,175552.8479,25318.43411,88101.22434,364380.0009,34098.35032,117367.5506,41188.33255,5181.710711,45717.03408,21755.57582,365164.2963,94971.90998,97178.43971,46620.69485
6PGD_HUMAN,"6-phosphogluconate dehydrogenase, decarboxylating",PGD,1015855.178,770738.9259,3563524.447,868076.0603,510784.2979,37070.82,31987.56015,5581378.616,453761.8284,2132740.195,485661.5191,264064.197,1296196.721,2696951.379,1227085.472,7075220.372,8679884.423,3893024.124,17661973.36,556916.6072,4527956.688,1466657.612,7569371.608,259147.4407,2121087.607,3451158.552,1685434.11,740096.9594,3188561.349,4115223.28,1958743.562,8965483.138,18229959.89,1618345.788,3998760.919,7999922.104,9925788.663
6PGL_HUMAN,6-phosphogluconolactonase,PGLS,106641.8097,40083.1027,517682.8725,104080.4052,11905.91879,24789.14363,13637.71416,22263.95405,109472.9578,193537.0876,2941.660415,13182.35708,18835.34908,106056.8669,88075.50963,29989.44731,38914.60124,16903.34061,36258.38829,13311.16362,170841.9039,259106.0126,28840.85713,73005.54999,7070.17343,17790.2826,25587.04266,25586.84917,4296.62748,44930.02055,144303.8851,846680.4681,56563.26744,52827.7187,19483.84122,165516.169,181130.5001
A16A1_HUMAN,Aldehyde dehydrogenase family 16 member A1,ALDH16A1,57703.97113,98007.70922,154926.4676,1743.501821,310986.8412,1136462.754,66942.54682,47834.56655,872.9445439,53039.23933,34388.72469,1261.397877,33969.11745,83156.43056,48996.91505,27919.34976,101033.6773,70288.48108,41109.66355,8226.164368,39574.58383,92874.14683,63584.70148,18544.71718,14302.80579,9127.30143,57035.89273,29530.63575,1477.663472,148748.0062,168981.2323,90444.2709,38286.54233,3511.679438,32126.89152,25704.60162,80016.75153
A1AG1_HUMAN,Alpha-1-acid glycoprotein 1,ORM1,81752.59511,729890.0708,133121.3117,212782.6539,5502986.275,1266667.516,2616.32701,789487.1794,76433.08781,745996.6833,367136.9478,26193.15139,333602.2675,220366.6238,2650864.843,92302.17468,64357.31864,49318.75086,40998.11349,10608642.43,15637189.19,168980.9045,445507.7936,479747.5472,272599.7347,127711.565,63349.71427,87573.75117,79411.45601,69149.77695,151972.0544,381559.2884,4248.779801,1873439.699,77776.96091,102043.566,104181.2602
A1AG2_HUMAN,Alpha-1-acid glycoprotein 2,ORM2,8553448.776,9041998.972,10032243.28,668225.371,16938895.85,1538097.799,851879.3384,936475.482,2010221.267,6530354.591,11391992.71,1360944.221,15367948.21,2075812.918,6754251.756,2222552.553,14806472.97,2116913.113,6062760.872,11067985.9,14166400.28,3208712.321,49884147.9,1269423.8,3643606.173,3499255.93,5780394.232,9397835.564,2807915.204,17172622.4,8847294.842,2841237.835,3364449.043,11362111.46,11404912.74,2866516.823,8919439.13
A1AT_HUMAN,Alpha-1-antitrypsin,SERPINA1,674501.837,16609268.14,4927170.904,1219906.576,24385856.92,1793242.394,74718.75233,968796.0177,1409358.078,2051460.154,15367957.71,787105.1747,3908898.517,1489522.219,857978.2501,6576991.802,973929.9371,786884.6952,721421.3738,252994928.4,14687188.06,6832676.344,1544807.35,8643677.023,3192086.703,1969101.848,888087.2878,586654.5231,8888520.098,643145.187,46002534.46,2157785.077,1619781.794,77256856.13,1706108.02,842940.959,1382877.502
A1BG_HUMAN,Alpha-1B-glycoprotein,A1BG,2493220.246,593042.4131,2682859.936,1503135.492,2481678.061,235593.4913,214280.1412,342842.6336,689808.9534,1528508.146,3913173.017,750242.9547,3126508.439,681136.6162,2215804.409,573575.3417,6283167.542,184460.8422,1304128.772,6594801.982,6646596.796,1965778.87,5423375.034,301057.0025,1275432.08,805957.7556,1034810.445,2824128.723,256294.2037,7545216.111,5306886.891,1240769.615,1269573.242,4839195.002,1689523.395,1004150.869,3339522.246
A2AP_HUMAN,Alpha-2-antiplasmin,SERPINF2,324012.1997,553169.9599,218518.0442,316881.1287,717926.0088,438805.1978,1350992.694,518037.0932,2198131.265,851055.1696,782576.7844,1317867.57,1964086.926,2333280.098,166077.8261,504392.4932,522507.2005,385310.2655,678438.9961,1201831.506,563694.8399,671906.247,1595083.148,1036593.937,1383671.575,579843.9388,266271.3872,1202457.359,1017746.191,1749797.816,1018231.143,434014.9024,1044254.705,1567984.111,1132911.213,1228184.65,425786.5619
A2GL_HUMAN,Leucine-rich alpha-2-glycoprotein,LRG1,320696.9679,569938.4696,835106.6852,94508.35302,412843.1627,112548.0884,74568.7006,760328.157,601288.9364,2430295.599,2301797.29,698717.7828,1178183.935,871839.6336,2796886.746,102607.7983,4635785.523,601228.3103,8494408.27,1504507.225,2678474.171,1502038.585,1201218.084,853308.3511,814875.7,498918.2898,1682309.765,886756.6809,1119240.849,2092406.284,753135.7724,7551437.36,994863.1207,1239196.117,850415.9868,1282172.006,2317447.379
A2MG_HUMAN,Alpha-2-macroglobulin,A2M,7184656.265,8423217.253,9777125.404,261431.8433,3846769.964,486050.7855,40019.26591,4271477.961,6481463.325,4525115.15,25568861.32,11530070.2,10310859.33,3306024.989,17087228.88,1328176.003,4352631.448,574687.3179,12003994.1,30524091.77,8904455.649,1297029.834,2118967.486,6212689.897,19212512.4,12523078.38,9235167.416,35265375.78,5154117.571,20571063.02,23115653.63,3960800.711,12945806.95,38895304.89,9882248.655,4135549.408,5496349.8
A2ML1_HUMAN,Alpha-2-macroglobulin-like protein 1,A2ML1,12454867.21,6590245.033,25527794.6,3844950.541,14276406.96,6211097.351,2520.278031,6708717.136,4555598.429,6560756.716,5538893.277,3826504.718,4163449.185,14966140.97,4756631.91,14245648.68,16966207.29,13678775.62,19986782.98,2921457.283,734964.963,2958488.225,3876843.481,1685474.952,2118193.969,1683190.487,7635982.331,1825899.142,13233021.89,8075507.915,2646277.363,14274738.12,10165570.36,14080242.7,19108393.62,13771432.81,20681471.18
AACT_HUMAN,Alpha-1-antichymotrypsin,SERPINA3,555080.7825,1791553.556,2811335.237,1579347.083,3314690.525,277267.1514,111307.0307,832754.9167,262545.5151,341260.6829,6760918.151,423049.4879,3147623.135,489269.9328,292341.8391,544632.8372,1314368.09,443810.9585,735052.7447,5441226.393,1296761.82,1027379.065,5670660.554,2175563.529,1592205.319,1217914.997,989465.1303,323326.5808,624252.2402,603455.2603,4458936.913,406747.7772,748019.2048,5671414.003,4754502.346,918433.129,4764168.915
AATC_HUMAN,"Aspartate aminotransferase, cytoplasmic",GOT1,2653862.479,1991460.436,1344678.133,349135.1767,175968.9392,810598.6863,8392.080927,1295916.265,174588.3185,889247.8159,248957.9441,197449.7112,131600.1805,911078.8594,673224.3211,223351.3316,680929.1124,1010249.339,3929311.435,160178.7585,407100.9802,1425940.666,3030097.312,169888.1084,155447.4442,406469.221,1106506.697,259973.615,481299.6413,1194571.51,769452.3899,1934360.728,939139.6425,170930.5794,617207.642,1182443.921,2257655.532
AATM_HUMAN,"Aspartate aminotransferase, mitochondrial",GOT2,1237557.792,217744.2888,102246.0113,326076.492,231887.2801,2138444.896,26663.44549,258449.6667,54617.70357,189377.9633,9428.674412,193176.8648,149773.7021,78812.21594,298275.7222,12233.58062,172949.9101,36707.27059,402119.0309,221626.2038,269891.4992,230099.6127,219858.8301,7393.21315,259779.7611,44157.44448,40045.6609,327353.3041,60485.46575,270604.9129,200855.0351,474716.5097,24652.48208,143413.6609,182452.6601,107886.2227,402600.4131
ABHEB_HUMAN,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,21112.2781,699.0857711,18099.21965,10184.94146,287.671476,16143.83012,6187.26771,31219.789,15691.86203,9685.361455,7803.513784,58567.94806,5026.46041,72638.48683,191.6235572,22614.23346,116.4603664,3969.138933,1,51681.75674,40727.38823,192210.6014,2838.98847,15812.28089,4827.510715,6113.929198,2406.627523,6206.641963,18439.47471,1707.075883,29872.97039,77193.01475,17082.63239,27076.47952,17.16352257,18254.08023,1
ACADS_HUMAN,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADS,198912.1583,8791.91895,16841.93481,41060.34487,28995.60894,803.1053015,1,24067.70183,26057.70999,88116.72038,7515.230498,51396.56534,37839.47239,261346.8997,51504.90956,248955.1442,297104.9189,1782.2478,461397.4895,116880.9113,7355.732487,146129.3342,61953.70651,14259.37699,23376.4117,5926.314421,55275.95626,69007.69737,3180.098216,301756.8222,648804.9498,75224.09123,54500.40489,61281.27154,72826.64357,25617.49043,63505.00522
ACBP_HUMAN,Acyl-CoA-binding protein,DBI,2503703.996,10539007.82,2099642.151,3513718.485,10058936.72,1034401.052,240001.0389,2009329.301,8490582.878,5175120.866,1829697.374,19988530.3,9042939.218,2844358.802,2464301.392,12219961.3,7064684.447,14006795.37,2061426.484,3839160.291,3846398.408,3791427.259,1381685.054,5219472.71,13386026.7,10566141.99,2188912.112,6744476.609,25445047.92,1390969.796,8401200.351,19261068.02,2791469.454,10964487.21,4824583.66,1675227.394,5654577.923
ACINU_HUMAN,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,13609.28448,2525.655741,101374.622,2730.821106,18673.36437,413937.9902,1357.940051,1101.381678,501.8276115,6085.835233,1870.382314,5645.790082,1,2317.773197,24484.77828,26899.312,53488.98823,27968.18307,239.4070392,29127.12268,35544.65794,7003.456807,7308.125654,474.0136634,14623.80479,95164.8052,26894.1746,6822.403434,76139.90058,43338.78017,15710.59744,64574.18903,66341.23665,26074.39566,837.8500399,13539.44052,5982.109912
ACLY_HUMAN,ATP-citrate synthase,ACLY,17316.49563,1207.208328,9310.595828,15372.59635,10266.32742,24363.44982,26973.83953,10007.74683,1232.797014,30776.68215,1848.62482,12689.22721,462.8510178,78516.18945,2591.53585,3089.209645,15495.69139,1705.068141,17015.70389,10501.62143,9833.567676,8995.757102,65286.17633,3286.507129,3694.723689,2250.561863,15683.82391,1436.959173,39.24819004,3994.409705,9117.64183,12659.60127,25536.70621,4933.362628,3463.016889,2773.392897,2271.430045
ACOC_HUMAN,Cytoplasmic aconitate hydratase,ACO1,34266.20188,34692.48648,51515.8068,86744.1844,10398.96589,133740.0115,4818.550421,44007.46304,10169.10817,5740.721602,17855.08355,4902.721839,7119.264334,70699.8969,5295.841354,15946.51317,111929.3391,31490.1519,9533.719661,15270.90292,7561.933847,140940.9937,27658.85435,20591.23409,7821.012087,5171.268055,24926.14477,8018.143771,10114.08137,31647.04732,85140.9858,84675.1949,57070.7955,13989.48388,9521.169425,60700.29097,42962.25513
ACON_HUMAN,"Aconitate hydratase, mitochondrial",ACO2,13877.52416,97445.67479,441960.8388,892258.5001,6860.396563,821436.6435,14466.13361,90761.11339,121955.1554,96122.55409,33690.8043,99624.96817,13387.34832,66142.53776,30409.2755,38738.17207,21057.02629,40282.20777,11575.06042,299985.0154,64979.57,717562.1771,124271.7582,317282.8354,67394.45023,7107.268642,30879.61333,105460.5404,3503.880494,2144620.604,37355.64792,30367.65283,198957.4745,10986.87838,43614.55644,40238.43087,55736.91308
ACPH_HUMAN,Acylamino-acid-releasing enzyme,APEH,91446.51467,29477.85869,218496.1804,152717.0312,72954.82022,33638.16308,88272.96691,469667.522,212370.7818,273804.1035,299679.3455,148482.3592,68587.77271,193585.8366,1145848.867,70444.25318,141736.8329,146527.7799,888442.2466,346897.9161,614911.9966,315654.263,1028427.347,876027.8247,286953.381,70872.70943,396689.8857,84695.73908,148893.9817,531479.2809,262034.5742,1053949.177,940517.3128,225485.547,67497.19006,271357.006,781801.4945
ACTB_HUMAN,"Actin, cytoplasmic 1",ACTB,17412260.66,4495631.317,54761904.82,8683478.052,12516151.1,448557.3887,457951.8965,14548562.66,58187749.03,28153534.07,15898292.07,90715314.77,8989320.658,76059246.15,4134543.83,14679240.59,59352775.84,11482547.24,13972672.84,12525391.41,61838324.64,87739955.4,45048433.6,3181847.526,70282117.61,9171666.188,62504719.17,6638508.739,6589552.175,27706395.11,52108295.42,28655183.38,13039444.65,25979924.09,22343282.44,57463532.45,74318133.79
ACTN1_HUMAN,Alpha-actinin-1,ACTN1,641006.6126,109159.2081,728652.1513,77699.30878,101588.2347,35654.38243,202138.228,208998.9429,1116244.326,1413863.563,122719.7136,612757.1792,677253.3925,713768.7969,2258011.689,334633.1907,1415493.756,278359.73,866384.2367,198942.6924,3109941.624,521495.0797,826324.0886,206680.2954,715761.0051,853343.0156,630910.957,2728776.46,250340.9801,793321.9264,831413.7603,2179715.089,1439923.188,510164.8383,559150.7272,598640.0343,1393353.079
ACTN4_HUMAN,Alpha-actinin-4,ACTN4,1182986.931,1932536.939,12648804.03,478757.1058,1198890.533,9747182.505,120228.8622,1117277.277,2281096.76,2862171.755,517693.7334,1099310.231,798505.885,2411292.735,3987317.25,1587812.976,1155859.193,1864710.151,1534603.753,737056.9545,2021949.357,6489960.078,530124.7063,438946.2008,687419.6627,1329925.418,1611799.835,1592547.135,1316085.59,590342.671,2652566.715,7219248.677,1300220.075,871453.9766,1613979.407,1703758.96,3356310.914
ACTZ_HUMAN,Alpha-centractin,ACTR1A,1610.752,14033.98407,35715.56526,34238.80674,9470.854285,4067.468575,9577.045316,15501.3381,2764.191792,63814.38593,31696.54662,3081.735687,1,191420.7358,26188.20087,31398.25087,3306.419508,664.1083234,4436.899724,15428.4815,60599.75484,234.9166319,7290.879099,128784.989,8350.708423,1149.662885,17721.82384,10621.05646,26696.18723,4540.369899,7924.286977,65421.65305,4376.154867,55461.11829,1041.038785,10297.91254,1426.346581
ADDA_HUMAN,Alpha-adducin,ADD1,882.3190147,38815.06879,12972.82886,284427.4892,3502.604872,94086.14007,16078.89307,41490.4812,296594.3036,17032.87054,35352.70374,30887.96406,370153.1414,38125.60303,50916.53585,206967.8061,3475.937815,5108.125698,39411.78215,63278.72045,34302.09499,24036.82341,13483.74013,42787.97498,8867.996884,217275.2612,3644.721161,7984.886219,12181.98561,16405.076,18611.09491,8840.57471,1,53163.43656,17.72768068,76321.43276,39162.85561
ADH1G_HUMAN,Alcohol dehydrogenase 1C,ADH1C,70365.90346,3586.156056,365139.2713,503531.3803,748365.5021,2509.255979,76042.69018,520972.379,200346.0176,67909.45919,393340.0324,130455.6879,100696.4849,149421.003,92846.13741,65482.79292,34238.35294,393531.912,147944.7426,50358.4915,37667.7788,3304643.406,175006.0908,1290865.529,154051.3267,106722.2602,520783.6666,67120.27106,66937.12884,122900.52,89642.96663,18499.14254,37624.13319,331828.308,165033.9422,94121.98786,103633.0139
ADH7_HUMAN,Alcohol dehydrogenase class 4 mu/sigma chain,ADH7,1962.816522,138505.1066,59351.99323,1094085.301,29327.10517,11009.18141,2944.047888,360168.5176,9999.891763,38862.95631,252471.8089,1,1,166630.0148,89886.78118,41033.1493,343424.9438,739284.5672,310670.1375,41205.29102,26756.00392,88865.02139,592089.9722,112394.8155,14224.53403,62669.68859,45415.2992,57152.19675,6219.757146,161147.9123,104291.0676,131182.9096,165186.6455,1,225867.7743,27562.89918,38379.33261
ADHX_HUMAN,Alcohol dehydrogenase class-3,ADH5,1103146.183,49548.85379,32137.34389,22917012.32,4613.228678,785159.2653,55021.53926,14008.29742,77034.29231,3587.052249,13384.01644,5089.881223,5102.751009,4331.359351,25479.89457,3382.144488,32888.62663,212.7062211,8918.629513,5095.078848,19529.48156,557575.3662,128370.8176,14274.03532,31744.47048,2715.06715,4867.159826,19340.87103,11373.53139,27066.30132,7226.503346,26582.64688,25688.41343,92252.76942,101049.0974,19783.38534,13863.24868
ADK_HUMAN,Adenosine kinase,ADK,1480833.063,768631.1335,127342.1595,41524.19341,13654.57631,125854.3524,2010.905667,11696.48887,17015.01756,133379.7614,23085.09026,14284.80993,19101.8484,82377.22289,72290.6143,63457.29988,33771.0736,55827.79144,81022.64726,15323.68014,74528.63107,23943.17738,170626.4363,6020.860138,5434.428893,36702.06077,24511.52448,49492.63877,41777.93751,84826.63497,33562.01406,302328.8121,57473.65835,32682.94006,12446.20025,110062.7898,148024.4083
ADSV_HUMAN,Adseverin,SCIN,277807.9344,604864.2911,260538.9658,116180.2877,405338.3067,535883.3889,6286.47207,57060.09111,22183.32328,4585.961554,9752.061058,38082.8835,14510.65539,5786.113476,17277.31879,65047.90368,34277.5669,7833.602033,4751.688956,11436.11493,7342.683126,135180.4113,51709.33898,39200.77161,19223.54278,2883.385064,1584.496897,27214.98877,257034.063,16796.91626,39679.44686,19369.8618,47887.57217,8914.516293,6943.435273,47597.04363,16072.1256
AFAD_HUMAN,Afadin,MLLT4,102252.2782,103147.6705,52882.31451,77231.87295,78084.83529,21872.13036,4890.747825,24630.94309,99462.39602,7184.318048,14557.0692,34445.29925,31130.142,26131.33261,20581.31746,51037.88138,8897.550864,28293.97062,36206.41374,181844.6793,38506.4916,38573.89941,64452.39879,37128.30825,26808.64982,32895.37343,41069.07951,31112.94794,18234.64105,55632.19712,73499.47406,94575.79137,88053.80754,33472.32887,62562.2706,56445.4328,101658.9888
AFAM_HUMAN,Afamin,AFM,154489.341,867619.3526,1044983.803,480348.9746,1895116.69,400752.876,214942.1782,65294.03159,176358.2842,438699.4121,1250140.996,317202.1382,1594735.855,173632.2642,334484.2422,205926.6036,478764.4532,175083.3656,381642.4954,1577943.103,961150.8522,247027.677,189173.4507,394395.9652,608253.728,950080.0368,219253.1188,283538.1483,277802.5138,543349.6184,1059071.384,248762.0087,329315.4189,1500549.66,1003286.437,333955.5434,541597.2015
AGAP2_HUMAN,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",AGAP2,1067500.637,40992.83652,509895.0107,90715.81643,98841.87733,441324.4492,204.5280093,299401.7071,115667.4867,146522.341,150715.8112,122920.55,94767.32715,465456.5991,984968.2138,142044.7886,19177.33241,411871.3422,315469.4051,96682.66185,226676.3437,143732.4534,589702.3698,53972.76398,50603.74761,174902.226,118047.9997,206089.5758,120756.1434,473839.7998,216772.3534,335873.8066,66989.69926,144628.3407,192006.7368,156171.0651,501960.2479
AGR2_HUMAN,Anterior gradient protein 2 homolog,AGR2,934578.8228,2359.748885,130261.2049,133186.2602,5996.860726,55323.22055,53153.50266,60681.86401,11183.15311,26362.70765,18030.7888,63568.43692,56733.50071,611317.0008,32779.28829,9552.331101,51067.7784,42028.78224,46523.59308,14056.72505,72391.69666,533801.1684,27039.39917,71960.20412,21419.43593,33705.40981,54749.14459,15888.85253,2900.047994,10476.84547,46400.86411,22827.37571,87651.12326,28447.83901,72400.60793,33133.8579,40762.71406
AGR3_HUMAN,Anterior gradient protein 3 homolog,AGR3,8685.847427,79375.88493,6489.669099,48492.48603,53288.5872,2885.715854,5597.619115,171845.448,36452.48458,17616.0624,26535.25013,16776.64139,18075.47409,81622.49845,7710.466775,94445.28361,23961.3795,11116.15952,56952.76638,14992.48162,2661.428859,86335.18435,36554.74278,48697.63891,3588.420261,69419.62638,30110.03999,4621.700042,42740.06783,18399.18896,4834.550086,13678.37057,26806.81575,2206.495346,2169.615853,23054.85202,9673.312658
AHNK_HUMAN,Neuroblast differentiation-associated protein AHNAK,AHNAK,14079503.15,11626628.64,6425535.178,8108218.253,30485651.08,1717302.286,1653537.815,4826334.019,8255314.986,1706326.769,20922965.67,12315827.41,14729863.53,17597281.48,1923470.26,21475269.46,32094575.78,44785690.27,5272471.212,8529438.912,7766791.134,5678302.902,12363448.42,52196233.06,9301096.33,26289796.66,6813964.449,2260831.509,18156745.92,3691202.279,27631188.13,5330191.429,42704693.72,21557988.42,28988877.57,17223489.34,16316896.5
AHNK2_HUMAN,Protein AHNAK2,AHNAK2,442712.3772,469253.3417,316339.4437,201236.1335,135866.4927,41671.6125,11704.30349,54754.87871,172673.6291,69139.6145,217825.265,224930.5923,158595.0981,70942.38665,78912.91473,273879.7339,57139.02028,356725.7783,108878.0195,97549.35299,91849.61752,2162836.338,114297.3993,106820.2239,85822.61883,322253.0896,205291.1,160701.6408,188195.8897,144791.0477,224110.6586,76972.46773,271680.6705,183072.017,180649.2419,207262.3502,303132.7023
AIM1_HUMAN,Absent in melanoma 1 protein,AIM1,68424.54957,58716.41826,66581.91528,204155.8895,570198.1893,140783.4734,51717.20235,49489.5515,85326.56216,13062.05119,246334.1219,87139.72686,323589.124,111610.4959,9075.229173,304589.6508,88446.11608,511451.092,14075.58274,97297.34622,15395.20127,40427.22751,5077.100133,481777.9073,48455.53661,691265.1976,228208.8285,12653.85456,168672.2844,14628.14647,299709.1544,32279.95517,1159535.484,157795.1813,357991.5637,334123.9695,273889.3905
AIMP1_HUMAN,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,AIMP1,1,6248.044824,131446.6182,36312.17366,19409.96589,1,3835.813154,3482.823817,3947.888807,33637.80988,1705.635419,8992.597726,18654.77498,100447.5118,8656.284859,6499.403569,11486.16545,56859.02197,2900.434815,6054.102762,32781.17159,201.8547783,7783.471921,22097.05509,1611.368719,31735.30683,1666.383172,17688.93298,9111.004001,45359.27286,1491.960544,40629.03113,6180.039358,4381.234532,10659.6237,16347.82732,5698.039775
AK1A1_HUMAN,Alcohol dehydrogenase [NADP(+)],AKR1A1,29301.44866,5772.660286,292670.7245,88246.78716,13653.0331,15128.74893,2095.962292,35738.39049,6300.397682,49484.06485,2083.915869,1375.16067,22226.48977,354177.9979,11680.53204,17718.74279,25467.58922,11365.505,186703.3225,4691.59641,23031.85618,543792.8992,214600.0949,5.30E-06,1140.107329,20732.25056,34140.79081,4002.257179,4998.354974,111362.7068,98762.90619,344759.6174,41211.21411,62396.55381,123241.0982,326452.1277,317039.9381
AK1BA_HUMAN,Aldo-keto reductase family 1 member B10,AKR1B10,333043.2334,73636.75704,422627.7559,105842.5546,148089.5376,27460.81634,75793.66801,102106.2347,44870.97317,1194915.663,62291.09587,17005.45581,26343.3222,234251.3116,241517.8352,148524.3414,583900.1455,103611.7208,1421392.168,14901.51908,126494.2613,609924.2398,298522.0468,61631.87489,107517.786,78851.11143,206739.5334,70586.08655,258532.3916,315147.0133,38934.01693,4321126.333,187083.3987,159384.366,88367.53674,517973.2118,733799.2989
